variant,quarter,session,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
control,Q3 2021,London,02:31,10,-181.1,7.4,94,-174.0,1.51,False
control,Q3 2021,NY,08:41,10,-35.5,25.9,85,-61.3,3.2,False
control,Q4 2021,Asia,21:54,10,-19.6,0.0,6,-19.6,1.37,False
control,Q4 2021,London,02:45,3,-187.2,8.3,108,-181.7,0.69,False
control,Q4 2021,NY,08:22,3,-67.4,23.6,110,-143.0,1.13,False
control,Q1 2022,Asia,22:01,10,-5.2,14.3,7,-13.5,1.56,False
control,Q1 2022,London,04:36,3,-2.0,16.5,103,-112.4,1.23,False
control,Q1 2022,NY,11:18,7,-32.0,25.7,74,-60.5,2.86,False
control,Q2 2022,Asia,20:45,3,-66.2,0.0,19,-66.2,0.81,False
control,Q2 2022,London,01:06,10,-90.0,12.9,124,-140.8,1.25,False
control,Q2 2022,NY,08:31,10,38.8,32.0,103,-55.4,4.58,True
control,Q3 2022,London,01:00,3,-23.3,14.9,114,-74.2,0.7,False
control,Q3 2022,NY,08:47,3,63.0,35.0,80,-30.9,1.76,True
control,Q4 2022,Asia,21:14,7,-30.2,0.0,9,-26.8,1.46,False
control,Q4 2022,London,03:34,3,-240.5,6.5,107,-249.2,0.95,False
control,Q4 2022,NY,08:44,10,44.4,32.2,90,-58.5,2.52,True
control,Q1 2023,London,01:02,3,-147.0,10.6,113,-175.5,0.67,False
control,Q1 2023,NY,08:19,5,-198.9,16.4,122,-214.1,1.8,False
control,Q2 2023,Asia,22:13,3,-19.6,0.0,6,-19.6,0.7,False
control,Q2 2023,London,04:50,3,-61.4,13.8,109,-121.1,0.85,False
control,Q2 2023,NY,10:07,3,-7.3,28.1,64,-38.7,2.47,False
control,Q3 2023,Asia,21:55,7,-18.9,0.0,6,-18.9,0.91,False
control,Q3 2023,London,04:44,3,-231.0,3.6,84,-239.1,0.53,False
control,Q3 2023,NY,08:39,5,-72.3,21.4,84,-116.3,2.4,False
control,Q4 2023,Asia,21:52,10,-16.3,0.0,5,-16.3,1.36,False
control,Q4 2023,London,03:19,3,-74.7,13.3,98,-129.7,0.83,False
control,Q4 2023,NY,08:13,5,-58.5,24.3,103,-95.5,1.29,False
control,Q1 2024,Asia,19:50,7,-73.6,0.0,22,-73.6,0.83,False
control,Q1 2024,London,04:20,3,-72.2,12.6,95,-145.4,0.91,False
control,Q1 2024,NY,10:03,3,13.9,30.5,82,-39.4,1.84,True
control,Q2 2024,Asia,21:58,5,-43.3,5.6,18,-41.7,1.75,False
control,Q2 2024,London,01:49,10,-81.2,14.6,137,-153.8,2.35,False
control,Q2 2024,NY,08:00,3,-66.1,26.7,135,-87.5,1.93,False
control,Q3 2024,Asia,22:32,7,-53.1,0.0,15,-49.4,2.19,False
control,Q3 2024,London,01:28,3,-56.8,14.9,134,-94.2,1.34,False
control,Q3 2024,NY,08:15,3,-77.4,26.9,119,-122.4,1.59,False
control,Q4 2024,Asia,22:48,10,-25.3,8.3,12,-40.3,2.38,False
control,Q4 2024,London,04:31,3,-101.6,13.5,141,-113.3,1.54,False
control,Q4 2024,NY,08:43,7,-3.1,29.5,122,-59.0,2.66,False
control,Q1 2025,Asia,19:06,7,-108.9,6.4,47,-113.7,1.28,False
control,Q1 2025,London,01:45,5,-195.3,10.7,149,-212.0,1.69,False
control,Q1 2025,NY,09:07,7,-29.3,30.6,121,-79.0,3.07,False
control,Q2 2025,Asia,19:31,7,31.8,22.9,96,-67.2,3.53,True
control,Q2 2025,London,02:18,3,50.3,20.1,144,-89.6,3.28,True
control,Q2 2025,NY,10:12,10,35.7,35.5,121,-53.3,8.07,True
control,Q3 2025,Asia,20:00,10,-181.0,7.6,79,-176.5,4.19,False
control,Q3 2025,London,01:03,10,-101.7,14.4,146,-140.8,2.56,False
control,Q3 2025,NY,09:36,5,8.2,33.0,112,-50.3,4.53,True
control,Q4 2025,Asia,22:41,10,35.5,29.6,27,-39.9,6.97,True
control,Q4 2025,London,03:25,3,40.6,21.2,146,-115.6,3.33,True
control,Q4 2025,NY,08:38,10,89.7,40.7,123,-81.9,6.52,True
control,Q1 2026,Asia,20:34,10,-30.8,26.4,91,-88.6,11.57,False
control,Q1 2026,London,02:07,10,117.8,26.2,130,-103.6,12.18,True
control,Q1 2026,NY,08:27,3,118.7,42.4,118,-42.1,5.44,True
dyn_sl_0.5,Q3 2021,London,02:31,10,-181.1,7.4,94,-174.0,1.51,False
dyn_sl_0.5,Q3 2021,NY,08:41,10,-37.8,25.9,85,-63.6,3.2,False
dyn_sl_0.5,Q4 2021,Asia,21:54,10,-19.6,0.0,6,-19.6,1.37,False
dyn_sl_0.5,Q4 2021,London,02:45,3,-187.2,8.3,108,-181.7,0.69,False
dyn_sl_0.5,Q4 2021,NY,08:22,3,-67.4,23.6,110,-143.0,1.13,False
dyn_sl_0.5,Q1 2022,Asia,22:01,10,-5.2,14.3,7,-13.5,1.56,False
dyn_sl_0.5,Q1 2022,London,04:36,3,-2.0,16.5,103,-112.4,1.23,False
dyn_sl_0.5,Q1 2022,NY,11:18,7,-33.2,26.4,72,-66.2,2.86,False
dyn_sl_0.5,Q2 2022,Asia,20:45,3,-66.2,0.0,19,-66.2,0.81,False
dyn_sl_0.5,Q2 2022,London,01:06,10,-90.0,12.9,124,-140.8,1.25,False
dyn_sl_0.5,Q2 2022,NY,08:31,10,43.9,33.0,103,-45.7,4.58,True
dyn_sl_0.5,Q3 2022,London,01:00,3,-23.3,14.9,114,-74.2,0.7,False
dyn_sl_0.5,Q3 2022,NY,08:47,3,63.0,35.0,80,-30.9,1.76,True
dyn_sl_0.5,Q4 2022,Asia,21:14,7,-30.2,0.0,9,-26.8,1.46,False
dyn_sl_0.5,Q4 2022,London,03:34,3,-240.5,6.5,107,-249.2,0.95,False
dyn_sl_0.5,Q4 2022,NY,08:44,10,37.4,32.2,90,-61.4,2.52,True
dyn_sl_0.5,Q1 2023,London,01:02,3,-147.0,10.6,113,-175.5,0.67,False
dyn_sl_0.5,Q1 2023,NY,08:19,5,-198.9,16.4,122,-214.1,1.8,False
dyn_sl_0.5,Q2 2023,Asia,22:13,3,-19.6,0.0,6,-19.6,0.7,False
dyn_sl_0.5,Q2 2023,London,04:50,3,-61.4,13.8,109,-121.1,0.85,False
dyn_sl_0.5,Q2 2023,NY,10:07,3,-9.7,28.1,64,-39.2,2.47,False
dyn_sl_0.5,Q3 2023,Asia,21:55,7,-18.9,0.0,6,-18.9,0.91,False
dyn_sl_0.5,Q3 2023,London,04:44,3,-231.0,3.6,84,-239.1,0.53,False
dyn_sl_0.5,Q3 2023,NY,08:33,10,-47.6,24.0,75,-84.1,3.39,False
dyn_sl_0.5,Q4 2023,Asia,21:52,10,-16.3,0.0,5,-16.3,1.36,False
dyn_sl_0.5,Q4 2023,London,03:19,3,-74.7,13.3,98,-129.7,0.83,False
dyn_sl_0.5,Q4 2023,NY,08:13,5,-58.5,24.3,103,-95.5,1.29,False
dyn_sl_0.5,Q1 2024,Asia,19:50,7,-73.6,0.0,22,-73.6,0.83,False
dyn_sl_0.5,Q1 2024,London,04:20,3,-72.2,12.6,95,-145.4,0.91,False
dyn_sl_0.5,Q1 2024,NY,10:03,3,13.9,30.5,82,-39.4,1.84,True
dyn_sl_0.5,Q2 2024,Asia,21:58,5,-43.3,5.6,18,-41.7,1.75,False
dyn_sl_0.5,Q2 2024,London,01:49,10,-84.4,14.6,137,-157.1,2.35,False
dyn_sl_0.5,Q2 2024,NY,08:00,3,-66.1,26.7,135,-87.5,1.93,False
dyn_sl_0.5,Q3 2024,Asia,22:32,7,-53.1,0.0,15,-49.4,2.19,False
dyn_sl_0.5,Q3 2024,London,01:28,3,-56.8,14.9,134,-94.2,1.34,False
dyn_sl_0.5,Q3 2024,NY,08:15,3,-77.4,26.9,119,-122.4,1.59,False
dyn_sl_0.5,Q4 2024,Asia,22:48,10,-26.5,8.3,12,-41.5,2.38,False
dyn_sl_0.5,Q4 2024,London,04:31,3,-101.6,13.5,141,-113.3,1.54,False
dyn_sl_0.5,Q4 2024,NY,08:43,7,-4.9,29.5,122,-59.0,2.66,False
dyn_sl_0.5,Q1 2025,Asia,19:06,7,-108.9,6.4,47,-113.7,1.28,False
dyn_sl_0.5,Q1 2025,London,01:53,10,-14.2,16.6,151,-117.9,2.66,False
dyn_sl_0.5,Q1 2025,NY,09:07,7,-33.3,30.6,121,-79.0,3.07,False
dyn_sl_0.5,Q2 2025,Asia,19:31,7,19.8,23.2,95,-73.8,3.53,True
dyn_sl_0.5,Q2 2025,London,02:18,3,47.6,20.1,144,-89.6,3.28,True
dyn_sl_0.5,Q2 2025,NY,10:12,10,37.5,38.8,116,-57.0,8.07,True
dyn_sl_0.5,Q3 2025,Asia,20:01,10,-162.9,8.2,73,-161.5,3.97,False
dyn_sl_0.5,Q3 2025,London,01:03,10,-106.1,14.4,146,-140.8,2.56,False
dyn_sl_0.5,Q3 2025,NY,09:34,7,31.0,36.7,109,-74.6,5.34,True
dyn_sl_0.5,Q4 2025,Asia,22:41,10,34.6,32.0,25,-39.0,6.97,True
dyn_sl_0.5,Q4 2025,London,03:25,3,26.7,21.2,146,-115.6,3.33,True
dyn_sl_0.5,Q4 2025,NY,08:37,7,81.9,41.4,116,-85.8,5.31,True
dyn_sl_0.5,Q1 2026,Asia,20:34,10,-34.9,31.8,88,-94.3,11.57,False
dyn_sl_0.5,Q1 2026,London,02:04,10,-14.5,28.2,131,-145.0,12.79,False
dyn_sl_0.5,Q1 2026,NY,08:27,3,99.5,43.1,116,-49.2,5.44,True
dyn_sl_1.0,Q3 2021,London,02:31,10,-181.1,7.4,94,-174.0,1.51,False
dyn_sl_1.0,Q3 2021,NY,08:30,10,-99.0,23.1,65,-117.6,4.58,False
dyn_sl_1.0,Q4 2021,Asia,21:54,10,-19.6,0.0,6,-19.6,1.37,False
dyn_sl_1.0,Q4 2021,London,02:45,3,-188.1,8.3,108,-182.6,0.69,False
dyn_sl_1.0,Q4 2021,NY,08:22,3,-67.4,23.6,110,-143.0,1.13,False
dyn_sl_1.0,Q1 2022,Asia,22:01,10,-5.3,14.3,7,-13.6,1.56,False
dyn_sl_1.0,Q1 2022,London,04:31,3,-82.4,12.6,95,-93.5,1.21,False
