date,session,open,close,high,low,range_pts,body_pts,body_pct_range,avg_range_20d,state,open_time,close_time,bars
2021-01-04,Asia,1942.464,1939.401,1945.619,1934.324,11.294999999999845,-3.0629999999998745,-0.271,7.8680000000001655,RANGE,2021-01-04 19:01:00,2021-01-04 22:59:00,239
2021-01-04,London,1922.694,1932.135,1935.159,1919.009,16.15000000000009,9.441000000000031,0.585,9.787500000000023,EXPANSION_UP,2021-01-04 01:00:00,2021-01-04 04:59:00,240
2021-01-04,NY,1933.475,1942.975,1944.429,1929.326,15.103000000000065,9.5,0.629,18.278999999999996,TREND_UP,2021-01-04 08:00:00,2021-01-04 11:59:00,240
2021-01-05,Asia,1950.221,1944.027,1955.298,1942.139,13.159000000000106,-6.19399999999996,-0.471,7.8680000000001655,EXPANSION_DN,2021-01-05 19:01:00,2021-01-05 22:59:00,239
2021-01-05,London,1939.609,1942.415,1943.954,1936.991,6.962999999999965,2.80600000000004,0.403,9.787500000000023,TREND_UP,2021-01-05 01:00:00,2021-01-05 04:59:00,240
2021-01-05,NY,1949.921,1943.512,1952.608,1938.994,13.614000000000033,-6.4090000000001055,-0.471,18.278999999999996,TREND_DOWN,2021-01-05 08:00:00,2021-01-05 11:59:00,240
2021-01-06,Asia,1921.029,1916.163,1924.619,1914.764,9.855000000000018,-4.8659999999999854,-0.494,7.8680000000001655,TREND_DOWN,2021-01-06 19:01:00,2021-01-06 22:59:00,239
2021-01-06,London,1944.69,1952.918,1956.614,1943.077,13.537000000000035,8.227999999999838,0.608,9.787500000000023,TREND_UP,2021-01-06 01:00:00,2021-01-06 04:59:00,240
2021-01-06,NY,1945.286,1909.759,1948.556,1903.995,44.56100000000015,-35.527000000000044,-0.797,18.278999999999996,EXPANSION_DN,2021-01-06 08:00:00,2021-01-06 11:59:00,240
2021-01-07,Asia,1915.696,1912.212,1917.474,1909.889,7.585000000000036,-3.4839999999999236,-0.459,7.8680000000001655,TREND_DOWN,2021-01-07 19:01:00,2021-01-07 22:59:00,239
2021-01-07,London,1917.732,1917.97,1927.653,1916.062,11.591000000000122,0.2380000000000564,0.021,9.787500000000023,TREND_UP,2021-01-07 01:00:00,2021-01-07 04:59:00,240
2021-01-07,NY,1918.47,1913.66,1919.809,1906.852,12.95699999999988,-4.809999999999945,-0.371,18.278999999999996,TREND_DOWN,2021-01-07 08:00:00,2021-01-07 11:59:00,240
2021-01-08,London,1909.296,1888.935,1911.673,1876.681,34.99199999999996,-20.361000000000104,-0.582,9.787500000000023,EXPANSION_DN,2021-01-08 01:00:00,2021-01-08 04:59:00,240
2021-01-08,NY,1894.104,1862.848,1894.501,1849.833,44.66799999999989,-31.256000000000085,-0.7,18.278999999999996,EXPANSION_DN,2021-01-08 08:00:00,2021-01-08 11:59:00,240
2021-01-11,Asia,1844.971,1847.37,1849.171,1841.239,7.932000000000016,2.3989999999998872,0.302,7.8680000000001655,TREND_UP,2021-01-11 19:01:00,2021-01-11 22:59:00,239
