ny_prev_dir,trades,total_pnl,avg,wr
BULLISH,352,-73.80999999999999,-0.20968749999999997,71.875
BEARISH,325,-27.200000000000003,-0.0836923076923077,73.53846153846155
RANGE,90,39.69,0.44099999999999995,80.0
